XA,ENGINE,SUPPORT,COMMENT,SAVEPOINTS,TRANSACTIONS
NULL,FEDERATED,NO,Federated MySQL storage engine,NULL,NULL
NO,CSV,YES,CSV storage engine,NO,NO
NO,MRG_MYISAM,YES,Collection of identical MyISAM tables,NO,NO
NO,BLACKHOLE,YES,/dev/null storage engine (anything you write to it disappears),NO,NO
NO,MyISAM,YES,MyISAM storage engine,NO,NO
NO,MEMORY,YES,"Hash based, stored in memory, useful for temporary tables",NO,NO
NO,ARCHIVE,YES,Archive storage engine,NO,NO
NO,PERFORMANCE_SCHEMA,YES,Performance Schema,NO,NO
YES,InnoDB,DEFAULT,"Supports transactions, row-level locking, and foreign keys",YES,YES

